filename;dimension;ratio;elapsed_time
10k_buck.ppc;492993;0.374934;87786
10k_lib.ppc;615165;0.339146;87683
20k_buck.ppc;986826;0.376025;100643
20k_lib.ppc;1241875;0.339831;107260
50k_buck.ppc;2466153;0.376285;134774
50k_lib.ppc;3175189;0.337318;146579
;0;-nan;39076
