filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.371925
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.44921
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.383649
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.359553
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.343352
25Atoms_16RotBonds_diverse_properties.smi;681653;0.344108
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.428894
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.380093
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.356171
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.327348
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.332498
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.408325
30Atoms_20RotBonds_diverse_properties.smi;835774;0.324131
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.357239
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.344189
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.319507
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.321115
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.40551
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.318272
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.35208
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.327732
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.311461
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.306257
40Atoms_1RotBonds_diverse_properties.smi;452272;0.394482
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.327469
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.370371
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.321347
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.290247
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.286218
45Atoms_1RotBonds_diverse_properties.smi;158804;0.407559
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.303686
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.362853
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.315346
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.272967
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.270302
50Atoms_1RotBonds_diverse_properties.smi;40519;0.406056
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.280944
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.363409
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.296414
mixed_bucket.smi;16655062;0.371775
;0;-nan
