filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.411302
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.447639
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.401229
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.383815
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.357771
25Atoms_16RotBonds_diverse_properties.smi;681653;0.372587
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.418048
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.382951
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.362871
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.328666
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.341684
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.391888
30Atoms_20RotBonds_diverse_properties.smi;835774;0.345555
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.354714
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.341359
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.314036
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.319846
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.38522
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.322093
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.342658
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.320838
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.303114
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.299672
40Atoms_1RotBonds_diverse_properties.smi;452272;0.375853
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.321613
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.352712
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.312941
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.283146
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.278226
45Atoms_1RotBonds_diverse_properties.smi;158804;0.38948
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.29347
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.345749
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.304288
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.266969
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.262729
50Atoms_1RotBonds_diverse_properties.smi;40519;0.391397
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.271808
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.346815
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.285733
mixed_bucket.smi;16655062;0.368593
;0;-nan
