filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.387826
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.427674
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.377764
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.366392
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.353015
25Atoms_16RotBonds_diverse_properties.smi;681653;0.360374
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.412621
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.367565
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.355003
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.336833
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.342741
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.402127
30Atoms_20RotBonds_diverse_properties.smi;835774;0.342463
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.347544
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.340334
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.328437
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.337577
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.42736
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.323409
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.350112
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.330198
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.321464
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.322287
40Atoms_1RotBonds_diverse_properties.smi;452272;0.432866
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.343935
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.385771
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.327399
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.311607
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.30959
45Atoms_1RotBonds_diverse_properties.smi;158804;0.454258
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.325919
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.397232
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.327157
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.305661
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.305461
50Atoms_1RotBonds_diverse_properties.smi;40519;0.458081
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.313881
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.424825
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.320697
mixed_bucket.smi;16655062;0.357489
;0;-nan
