filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.408926
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.448977
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.400452
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.382659
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.356357
25Atoms_16RotBonds_diverse_properties.smi;681653;0.369571
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.419248
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.382985
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.363396
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.32981
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.340812
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.392549
30Atoms_20RotBonds_diverse_properties.smi;835774;0.343058
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.355463
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.34193
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.315746
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.321746
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.384158
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.322094
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.343747
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.322221
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.304598
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.301213
40Atoms_1RotBonds_diverse_properties.smi;452272;0.374138
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.324992
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.353245
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.314429
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.283955
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.279125
45Atoms_1RotBonds_diverse_properties.smi;158804;0.388114
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.295984
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.345471
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.30533
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.267654
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.263353
50Atoms_1RotBonds_diverse_properties.smi;40519;0.391298
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.273613
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.34601
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.286213
mixed_bucket.smi;16655062;0.369267
;0;-nan
