filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.376464
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.445356
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.38385
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.361325
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.34619
25Atoms_16RotBonds_diverse_properties.smi;681653;0.350009
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.424866
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.379324
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.355793
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.326678
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.334833
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.405536
30Atoms_20RotBonds_diverse_properties.smi;835774;0.32902
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.355599
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.343365
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.31796
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.319461
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.406006
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.319157
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.349753
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.325866
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.310206
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.305257
40Atoms_1RotBonds_diverse_properties.smi;452272;0.397489
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.324409
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.369128
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.319437
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.289934
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.285998
45Atoms_1RotBonds_diverse_properties.smi;158804;0.411614
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.301714
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.363444
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.314126
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.272676
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.270447
50Atoms_1RotBonds_diverse_properties.smi;40519;0.407192
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.279223
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.365575
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.296274
mixed_bucket.smi;16655062;0.37032
;0;-nan
