filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.429057
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.438088
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.397199
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.389806
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.369879
25Atoms_16RotBonds_diverse_properties.smi;681653;0.397036
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.413448
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.374263
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.363725
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.342198
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.361041
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.393762
30Atoms_20RotBonds_diverse_properties.smi;835774;0.377697
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.349768
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.340455
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.32716
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.344998
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.410491
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.344006
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.345397
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.326354
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.316442
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.322412
40Atoms_1RotBonds_diverse_properties.smi;452272;0.416199
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.353113
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.37078
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.321195
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.301691
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.301733
45Atoms_1RotBonds_diverse_properties.smi;158804;0.439913
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.323962
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.380685
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.316864
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.290871
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.29092
50Atoms_1RotBonds_diverse_properties.smi;40519;0.450036
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.304951
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.410806
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.305114
mixed_bucket.smi;16655062;0.359926
;0;-nan
