filename;dimension;ratio
20Atoms_12RotBonds_diverse_properties.smi;547887;0.399957
20Atoms_1RotBonds_diverse_properties.smi;5615451;0.428459
20Atoms_4RotBonds_diverse_properties.smi;35110250;0.377997
20Atoms_8RotBonds_diverse_properties.smi;32849271;0.367847
25Atoms_12RotBonds_diverse_properties.smi;30148761;0.358045
25Atoms_16RotBonds_diverse_properties.smi;681653;0.378417
25Atoms_1RotBonds_diverse_properties.smi;9870953;0.413088
25Atoms_4RotBonds_diverse_properties.smi;43593610;0.367984
25Atoms_8RotBonds_diverse_properties.smi;42279194;0.354933
30Atoms_12RotBonds_diverse_properties.smi;49763629;0.33811
30Atoms_16RotBonds_diverse_properties.smi;14121392;0.353746
30Atoms_1RotBonds_diverse_properties.smi;4358091;0.402315
30Atoms_20RotBonds_diverse_properties.smi;835774;0.365853
30Atoms_4RotBonds_diverse_properties.smi;42011380;0.347751
30Atoms_8RotBonds_diverse_properties.smi;51497608;0.339351
35Atoms_12RotBonds_diverse_properties.smi;59422204;0.327934
35Atoms_16RotBonds_diverse_properties.smi;34552965;0.342523
35Atoms_1RotBonds_diverse_properties.smi;1285428;0.427366
35Atoms_20RotBonds_diverse_properties.smi;3263575;0.342606
35Atoms_4RotBonds_diverse_properties.smi;62496744;0.350223
35Atoms_8RotBonds_diverse_properties.smi;61248326;0.328847
40Atoms_12RotBonds_diverse_properties.smi;69006692;0.319976
40Atoms_16RotBonds_diverse_properties.smi;50309768;0.324066
40Atoms_1RotBonds_diverse_properties.smi;452272;0.432912
40Atoms_20RotBonds_diverse_properties.smi;11310080;0.352994
40Atoms_4RotBonds_diverse_properties.smi;59838069;0.38552
40Atoms_8RotBonds_diverse_properties.smi;70246983;0.326284
45Atoms_12RotBonds_diverse_properties.smi;78090792;0.310127
45Atoms_16RotBonds_diverse_properties.smi;76782587;0.309265
45Atoms_1RotBonds_diverse_properties.smi;158804;0.45429
45Atoms_20RotBonds_diverse_properties.smi;10907359;0.329975
45Atoms_4RotBonds_diverse_properties.smi;35964639;0.396931
45Atoms_8RotBonds_diverse_properties.smi;80243901;0.326284
50Atoms_12RotBonds_diverse_properties.smi;86287782;0.304199
50Atoms_16RotBonds_diverse_properties.smi;84674517;0.304506
50Atoms_1RotBonds_diverse_properties.smi;40519;0.458155
50Atoms_20RotBonds_diverse_properties.smi;12954055;0.315636
50Atoms_4RotBonds_diverse_properties.smi;9244466;0.424683
50Atoms_8RotBonds_diverse_properties.smi;90008574;0.31997
mixed_bucket.smi;16655062;0.357426
;0;-nan
