Filename;Ratio;Huffman
mix_bucket_0_10_v_2;0.357391;0.357048
mix_bucket_0_10_v_3;0.35738;0.357044
mix_bucket_10_20_v_2;0.339342;0.335676
mix_bucket_20_30_v_4;0.326181;0.318638
mix_bucket_20_30_v_2;0.326223;0.318683
mix_bucket_20_30_v_3;0.326159;0.318625
