mix_bucket_0_10_v_2
Compression ratio = 0.286244 Input Size = 0.46518
 Bad chars = 0.0140093
mix_bucket_0_10_v_3
Compression ratio = 0.286222 Input Size = 0.465162
 Bad chars = 0.0139979
mix_bucket_10_20_v_2
Compression ratio = 0.262498 Input Size = 0.546237
 Bad chars = 0.0118173
mix_bucket_20_30_v_4
Compression ratio = 0.246517 Input Size = 0.666418
 Bad chars = 0.0094347
mix_bucket_20_30_v_2
Compression ratio = 0.24655 Input Size = 0.666301
 Bad chars = 0.00944914
mix_bucket_20_30_v_3
Compression ratio = 0.246507 Input Size = 0.666314
 Bad chars = 0.00943088
Reaction10_10.smi
Compression ratio = 0.279133 Input Size = 1.00005
 Bad chars = 0.0135342
Reaction13_29.smi
Compression ratio = 0.296071 Input Size = 0.894247
 Bad chars = 0.0150909
Reaction16_141.smi
Compression ratio = 0.269923 Input Size = 0.424099
 Bad chars = 0.0147546
Reaction28_14.smi
Compression ratio = 0.27024 Input Size = 0.908363
 Bad chars = 0.0106485
Reaction35_77.smi
Compression ratio = 0.292609 Input Size = 0.346083
 Bad chars = 0.0131396
Reaction45_33.smi
Compression ratio = 0.295016 Input Size = 1.02455
 Bad chars = 0.0146283
Reaction47_736.smi
Compression ratio = 0.268341 Input Size = 0.619723
 Bad chars = 0.0131537
Reaction50_111.smi
Compression ratio = 0.286716 Input Size = 1.51426
 Bad chars = 0.0144116
Reaction54_99.smi
Compression ratio = 0.301307 Input Size = 1.00901
 Bad chars = 0.0119591
