Filename;Ratio;Huffman
mix_bucket_0_10_v_2;0.370827;0.369002
mix_bucket_0_10_v_3;0.37081;0.368994
mix_bucket_10_20_v_2;0.337194;0.334075
mix_bucket_20_30_v_4;0.311759;0.304753
mix_bucket_20_30_v_2;0.311793;0.304787
mix_bucket_20_30_v_3;0.311738;0.304742
